Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
300,Aaron Holiday,28,HOU,PG,47,3,595,84,196,.429,47,126,.373,37,70,.529,.548,28,32,.875,10,50,60,58,17,6,29,49,243,0,,holidaa01
301,Tre Jones,25,2TM,PG,40,3,703,91,174,.523,14,39,.359,77,135,.570,.563,44,54,.815,24,67,91,144,29,8,27,44,240,0,,jonestr01
301,Tre Jones,25,SAS,PG,28,0,450,45,93,.484,8,26,.308,37,67,.552,.527,25,33,.758,15,43,58,104,18,5,21,33,123,0,,jonestr01
301,Tre Jones,25,CHI,PG,12,3,253,46,81,.568,6,13,.462,40,68,.588,.605,19,21,.905,9,24,33,40,11,3,6,11,117,0,,jonestr01
302,Ben Simmons,28,2TM,PG,38,24,931,107,194,.552,0,0,,107,194,.552,.552,24,33,.727,36,162,198,254,33,19,90,92,238,0,,simmobe01
302,Ben Simmons,28,BRK,PG,33,24,825,93,170,.547,0,0,,93,170,.547,.547,18,26,.692,30,142,172,229,26,16,88,81,204,0,,simmobe01
302,Ben Simmons,28,LAC,PG,5,0,106,14,24,.583,0,0,,14,24,.583,.583,6,7,.857,6,20,26,25,7,3,2,11,34,0,,simmobe01
303,Kyle Anderson,31,2TM,PF,47,4,699,93,210,.443,21,57,.368,72,153,.471,.493,31,45,.689,41,108,149,104,30,24,26,57,238,0,,anderky01
303,Kyle Anderson,31,GSW,PF,36,3,541,76,169,.450,19,52,.365,57,117,.487,.506,18,27,.667,27,83,110,81,26,20,20,40,189,0,,anderky01
303,Kyle Anderson,31,MIA,SF,11,1,158,17,41,.415,2,5,.400,15,36,.417,.439,13,18,.722,14,25,39,23,4,4,6,17,49,0,,anderky01
304,KJ Martin,24,2TM,PF,34,15,738,95,159,.597,14,40,.350,81,119,.681,.642,33,43,.767,28,81,109,32,15,22,20,84,237,0,,martike04
304,KJ Martin,24,PHI,PF,24,7,480,61,99,.616,8,21,.381,53,78,.679,.657,24,29,.828,21,51,72,19,11,16,12,62,154,0,,martike04
304,KJ Martin,24,UTA,SF,10,8,258,34,60,.567,6,19,.316,28,41,.683,.617,9,14,.643,7,30,37,13,4,6,8,22,83,0,,martike04
305,Jamison Battle,23,TOR,SF,41,0,535,83,176,.472,58,133,.436,25,43,.581,.636,12,14,.857,25,55,80,33,5,6,13,49,236,0,,battlja01
306,Marcus Smart,30,2TM,PG,26,6,534,76,198,.384,37,114,.325,39,84,.464,.477,43,52,.827,16,39,55,88,31,6,45,45,232,0,,smartma01
306,Marcus Smart,30,MEM,PG,19,6,400,53,148,.358,29,90,.322,24,58,.414,.456,30,36,.833,14,29,43,71,23,6,35,31,165,0,,smartma01
306,Marcus Smart,30,WAS,PG,7,0,134,23,50,.460,8,24,.333,15,26,.577,.540,13,16,.813,2,10,12,17,8,0,10,14,67,0,,smartma01
307,Dalen Terry,22,CHI,SG,57,3,719,85,184,.462,22,67,.328,63,117,.538,.522,39,57,.684,30,53,83,68,27,13,38,84,231,0,,terryda01
308,Alec Burks,33,MIA,SG,36,4,637,72,177,.407,54,129,.419,18,48,.375,.559,31,41,.756,13,84,97,41,22,6,16,26,229,0,,burksal01
309,Nicolas Batum,36,LAC,PF,62,5,1091,75,182,.412,63,153,.412,12,29,.414,.585,15,18,.833,38,134,172,71,41,28,26,90,228,0,,batumni01
310,Jett Howard,21,ORL,SF,52,0,599,81,221,.367,49,160,.306,32,61,.525,.477,15,20,.750,20,42,62,40,13,10,26,55,226,0,,howarje01
311,Jabari Walker,22,POR,SF,48,1,568,86,171,.503,20,56,.357,66,115,.574,.561,34,52,.654,46,125,171,30,28,6,23,70,226,0,,walkeja01
312,Lindy Waters III,27,2TM,SG,44,9,684,80,217,.369,52,159,.327,28,58,.483,.488,8,11,.727,17,81,98,43,24,10,18,58,220,0,,waterli01
